,"Jan 21 - 31, 24","Feb 24","Mar 24","Apr 24","May 24","Jun 24","Jul 24","Aug 24","Sep 24","Oct 24","Nov 24","Dec 24","TOTAL"
,"Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price"
"ZLP10161 (10x16x1 Special MERV10 Standard Capacity Pleat)",0.00,0.00,0.0%,0.00,2,18.22,0.0%,9.11,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,2,18.22,0.0%,9.11,0.00,0.00,0.0%,0.00,2,18.22,0.0%,9.11,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,2,18.22,0.0%,9.11,8.00,72.88,0.0%,9.11
"ZLP10201 (10x20x1 MERV10 Standard Capacity Pleat)",0.00,0.00,0.0%,0.00,20,84.92,0.0%,4.25,1,4.71,0.0%,4.71,9,48.45,0.0%,5.38,14,116.14,0.0%,8.30,11,50.49,0.0%,4.59,1,4.73,0.0%,4.73,8,36.32,0.0%,4.54,149,692.17,0.1%,4.65,150,693.06,0.1%,4.62,0,0.00,0.0%,0.00,9,41.05,0.0%,4.56,372.00,1772.04,0.0%,4.76
"ZLP10202 (10x20x2 MERV10 Standard Capacity Pleat)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,48,209.28,0.0%,4.36,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,6,25.38,0.0%,4.23,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,54.00,234.66,0.0%,4.35
"ZLP10204SP (10x20x4 SPECIAL MERV10 Standard Capacity Pleat)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,4,123.40,0.0%,30.85,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,4.00,123.40,0.0%,30.85
"ZLP10241 (10x24x1 MERV10 Standard Capacity Pleat)",0.00,0.00,0.0%,0.00,7,58.80,0.0%,8.40,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,12,106.68,0.0%,8.89,7,58.80,0.0%,8.40,0.00,0.00,0.0%,0.00,7,58.80,0.0%,8.40,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,24,187.68,0.0%,7.82,7,58.80,0.0%,8.40,64.00,529.56,0.0%,8.27
"ZLP10251SP (10x25x1 SPECIAL MERV10 Standard Capacity Pleat)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,8,90.64,0.0%,11.33,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,8.00,90.64,0.0%,11.33
"ZLP10252SP (10x25x2 MERV10 Special Standard Capacity Pleat)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,1,14.82,0.0%,14.82,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,1,14.82,0.0%,14.82,0.00,0.00,0.0%,0.00,11,163.02,0.0%,14.82,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,1,14.82,0.0%,14.82,14.00,207.48,0.0%,14.82
"ZLP10262SP (10x26x2 Special  MERV10 Standard Capacity Pleat)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,32,395.52,0.0%,12.36,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,32.00,395.52,0.0%,12.36
"ZLP10301 (10x30x1 MERV10 Standard Capacity Pleat)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,12,109.32,0.0%,9.11,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,12.00,109.32,0.0%,9.11
"ZLP10401SP (10x40x1 Special Standard Capacity Pleat)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,3,89.79,0.0%,29.93,3.00,89.79,0.0%,29.93
"ZLP10801SP (10x80x1 Special Standard Capacity Pleat)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,2,76.60,0.0%,38.30,2.00,76.60,0.0%,38.30
"ZLP11141SP (11x14x1 Special MERV10 Standard Capacity Pleat)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,1,9.61,0.0%,9.61,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,1,9.61,0.0%,9.61,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,1,9.61,0.0%,9.61,3.00,28.83,0.0%,9.61
"ZLP11262SP (11x26x2 Special  MERV10 Standard Capacity Pleat)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,8,160.08,0.0%,20.01,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,8.00,160.08,0.0%,20.01
"ZLP12121 (12x12x1 MERV10 Standard Capacity Pleat)",0.00,0.00,0.0%,0.00,12,64.56,0.0%,5.38,0,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,12,64.56,0.0%,5.38,0.00,0.00,0.0%,0.00,12,64.56,0.0%,5.38,1,5.50,0.0%,5.50,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,12,64.56,0.0%,5.38,49.00,263.74,0.0%,5.38
"ZLP12122 (12x12x2 MERV10 Standard Capacity Pleat)",0.00,0.00,0.0%,0.00,2,11.66,0.0%,5.83,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,24,140.52,0.0%,5.86,2,11.66,0.0%,5.83,0.00,0.00,0.0%,0.00,3,16.39,0.0%,5.46,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,3,16.39,0.0%,5.46,34.00,196.62,0.0%,5.78
"ZLP12124SP (12x12x4 MERV10 Special Standard Capacity Pleat)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,6,111.78,0.0%,18.63,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,6.00,111.78,0.0%,18.63
"ZLP12201 (12x20x1 MERV10 Standard Capacity Pleat)",6,26.28,0.0%,4.38,0,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,18,86.88,0.0%,4.83,2,9.40,0.0%,4.70,0.00,0.00,0.0%,0.00,3,14.10,0.0%,4.70,18,84.60,0.0%,4.70,0.00,0.00,0.0%,0.00,2,9.40,0.0%,4.70,0.00,0.00,0.0%,0.00,3,14.10,0.0%,4.70,52.00,244.76,0.0%,4.71
"ZLP12202 (12x20x2 MERV10 Standard Capacity Pleat)",12,58.08,0.0%,4.84,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,12,58.08,0.0%,4.84,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,12,57.72,0.0%,4.81,2,9.62,0.0%,4.81,38.00,183.50,0.0%,4.83
"ZLP12241 (12x24x1 MERV10 Standard Capacity Pleat)",0.00,0.00,0.0%,0.00,17,79.58,0.0%,4.68,0.00,0.00,0.0%,0.00,12,51.24,0.0%,4.27,0.00,0.00,0.0%,0.00,5,22.70,0.0%,4.54,0.00,0.00,0.0%,0.00,5,22.70,0.0%,4.54,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,12,47.64,0.0%,3.97,6,27.24,0.0%,4.54,57.00,251.10,0.0%,4.41
"ZLP12242 (12x24x2 MERV10 Standard Capacity Pleat)",120,581.52,0.1%,4.85,203,884.77,0.1%,4.36,73,337.09,0.0%,4.62,66,307.83,0.0%,4.66,282,1283.63,0.1%,4.55,220,1019.00,0.1%,4.63,55,256.42,0.0%,4.66,390,1774.37,0.2%,4.55,328,1577.34,0.2%,4.81,160,759.68,0.1%,4.75,62,300.92,0.0%,4.85,282,1359.85,0.1%,4.82,2241.00,10442.42,0.1%,4.66
"ZLP12244 (12x24x4 MERV10 Standard Capacity Pleat)",0.00,0.00,0.0%,0.00,254,1567.26,0.1%,6.17,23,160.51,0.0%,6.98,23,170.98,0.0%,7.43,62,470.18,0.0%,7.58,70,511.71,0.0%,7.31,39,291.21,0.0%,7.47,44,312.34,0.0%,7.10,94,715.54,0.1%,7.61,31,230.58,0.0%,7.44,24,183.12,0.0%,7.63,68,486.44,0.0%,7.15,732.00,5099.87,0.0%,6.97
"ZLP12252SP (12x25x2 MERV10 Special Standard Capacity Pleat)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,8,94.48,0.0%,11.81,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,8,94.48,0.0%,11.81,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,16.00,188.96,0.0%,11.81
"ZLP12301 (12x30x1 MERV10 Standard Capacity Pleat)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,1,6.72,0.0%,6.72,1,6.72,0.0%,6.72,1,6.72,0.0%,6.72,0.00,0.00,0.0%,0.00,4,26.88,0.0%,6.72,7.00,47.04,0.0%,6.72
"ZLP12381SP (12x38x1 Special Standard Capacity Pleat)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,1,14.83,0.0%,14.83,1.00,14.83,0.0%,14.83
"ZLP13221SP (13.5x22x1 MERV10 Special Standard Capacity Pleat)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,1,15.89,0.0%,15.89,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,1,15.89,0.0%,15.89,0.00,0.00,0.0%,0.00,1,15.89,0.0%,15.89,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,1,15.89,0.0%,15.89,4.00,63.56,0.0%,15.89
"ZLP14141 (14x14x1 MERV10 Standard Capacity Pleat)",0.00,0.00,0.0%,0.00,1,6.31,0.0%,6.31,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,1,6.31,0.0%,6.31,0.00,0.00,0.0%,0.00,1,6.31,0.0%,6.31,24,159.12,0.0%,6.63,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,1,6.31,0.0%,6.31,28.00,184.36,0.0%,6.58
"ZLP14162 (14x16x2 Special MERV10 Standard Capacity Pleat)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,2,41.60,0.0%,20.80,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,2.00,41.60,0.0%,20.80
"ZLP14201 (14x20x1 Special Standard Capacity Pleat)",0.00,0.00,0.0%,0.00,3,13.95,0.0%,4.65,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,25,123.57,0.0%,4.94,3,13.95,0.0%,4.65,0.00,0.00,0.0%,0.00,3,13.95,0.0%,4.65,0.00,0.00,0.0%,0.00,4,45.32,0.0%,11.33,0.00,0.00,0.0%,0.00,4,25.28,0.0%,6.32,42.00,236.02,0.0%,5.62
"ZLP14202 (14x20x2 MERV10 Standard Capacity Pleat)",0.00,0.00,0.0%,0.00,1,4.90,0.0%,4.90,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,5,25.26,0.0%,5.05,2,10.18,0.0%,5.09,1,4.90,0.0%,4.90,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,4,20.36,0.0%,5.09,3,15.40,0.0%,5.13,16.00,81.00,0.0%,5.06
"ZLP14221SP (14x22x1 SPECIAL MERV10 Standard Capacity Pleat)",0.00,0.00,0.0%,0.00,12,149.52,0.0%,12.46,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,12,149.52,0.0%,12.46,24,295.20,0.0%,12.30,12,149.52,0.0%,12.46,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,12,149.52,0.0%,12.46,72.00,893.28,0.0%,12.41
"ZLP14231SP (14x23x1 SPECIAL MERV10 Standard Capacity Pleat)",0.00,0.00,0.0%,0.00,8,99.68,0.0%,12.46,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,8,99.68,0.0%,12.46,0.00,0.00,0.0%,0.00,8,99.68,0.0%,12.46,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,8,99.68,0.0%,12.46,32.00,398.72,0.0%,12.46
"ZLP14241 (14x24x1 MERV10 Standard Capacity Pleat)",0.00,0.00,0.0%,0.00,10,75.16,0.0%,7.52,1,7.86,0.0%,7.86,2,15.40,0.0%,7.70,2,15.40,0.0%,7.70,14,104.56,0.0%,7.47,0.00,0.00,0.0%,0.00,11,83.02,0.0%,7.55,0.00,0.00,0.0%,0.00,3,22.86,0.0%,7.62,0.00,0.00,0.0%,0.00,9,67.30,0.0%,7.48,52.00,391.56,0.0%,7.53
"ZLP14251 (14x25x1 MERV10 Standard Capacity Pleat)",3,14.79,0.0%,4.93,0,0.00,0.0%,0.00,1,4.93,0.0%,4.93,0.00,0.00,0.0%,0.00,27,136.47,0.0%,5.05,0.00,0.00,0.0%,0.00,3,15.18,0.0%,5.06,1,4.93,0.0%,4.93,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,15,67.83,0.0%,4.52,28,141.55,0.0%,5.06,78.00,385.68,0.0%,4.94
"ZLP14252 (14x25x2 MERV10 Standard Capacity Pleat)",0.00,0.00,0.0%,0.00,26,138.06,0.0%,5.31,0.00,0.00,0.0%,0.00,1,5.06,0.0%,5.06,1,5.06,0.0%,5.06,26,138.06,0.0%,5.31,3,15.88,0.0%,5.29,27,143.47,0.0%,5.31,0.00,0.00,0.0%,0.00,1,5.06,0.0%,5.06,12,56.88,0.0%,4.74,28,148.88,0.0%,5.32,125.00,656.41,0.0%,5.25
"ZLP14271 (14x27x1 Special MERV10 Standard Capacity Pleat)",0.00,0.00,0.0%,0.00,3,44.40,0.0%,14.80,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,3,44.40,0.0%,14.80,0.00,0.00,0.0%,0.00,3,44.40,0.0%,14.80,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,3,44.40,0.0%,14.80,12.00,177.60,0.0%,14.80
"ZLP14301 (14x30x1 MERV10 Standard Capacity Pleat)",0.00,0.00,0.0%,0.00,8,74.74,0.0%,9.34,25,222.04,0.0%,8.88,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,10,92.50,0.0%,9.25,12,107.52,0.0%,8.96,9,81.98,0.0%,9.11,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,12,103.80,0.0%,8.65,31,236.50,0.0%,7.63,107.00,919.08,0.0%,8.59
"ZLP14461 (14x46x1 Special MERV10 Standard Capacity Pleat)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,1,38.62,0.0%,38.62,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,1,38.62,0.0%,38.62,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,2.00,77.24,0.0%,38.62
"ZLP15.7535.752SP (15 3/4x 35 3/4x 2 SPECIAL MERV10 Standard Capacity Pleat)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,18,633.96,0.0%,35.22,0.00,0.00,0.0%,0.00,11,387.42,0.0%,35.22,11,387.42,0.0%,35.22,0.00,0.00,0.0%,0.00,11,387.42,0.0%,35.22,0.00,0.00,0.0%,0.00,11,387.42,0.0%,35.22,11,387.42,0.0%,35.22,11,387.42,0.0%,35.22,84.00,2958.48,0.0%,35.22
"ZLP15201 (15x20x1 MERV10 Standard Capacity Pleat)",0.00,0.00,0.0%,0.00,0,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00
"ZLP15202 (15x20x2 MERV10 Standard Capacity Pleat)",24,118.32,0.0%,4.93,45,218.70,0.0%,4.86,4,18.48,0.0%,4.62,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,48,233.49,0.0%,4.86,0.00,0.00,0.0%,0.00,51,256.78,0.0%,5.03,0.00,0.00,0.0%,0.00,3,14.79,0.0%,4.93,0.00,0.00,0.0%,0.00,52,251.97,0.0%,4.85,227.00,1112.53,0.0%,4.90
"ZLP15251SP (15x25x1 Special MERV10 Standard Capacity Pleat)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,1,12.70,0.0%,12.70,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,1,12.70,0.0%,12.70,0.00,0.00,0.0%,0.00,1,12.70,0.0%,12.70,3.00,38.10,0.0%,12.70
"ZLP15301 (15x30x1 Special MERV10 Standard Capacity Pleat)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,1,15.13,0.0%,15.13,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,91,1295.83,0.1%,14.24,92.00,1310.96,0.0%,14.25
"ZLP15305/81SP (15x30 5/8x1 MERV10 Standard Capacity Pleat)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,10,96.20,0.0%,9.62,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,7,67.34,0.0%,9.62,17.00,163.54,0.0%,9.62
"ZLP16161 (16x16x1 MERV10 Standard Capacity Pleat)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,4,25.08,0.0%,6.27,14,85.72,0.0%,6.12,2,13.00,0.0%,6.50,6,38.08,0.0%,6.35,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,60,399.60,0.0%,6.66,3,19.33,0.0%,6.44,0.00,0.00,0.0%,0.00,1,6.33,0.0%,6.33,90.00,587.14,0.0%,6.52
"ZLP16162 (16x16x2 MERV10 Standard Capacity Pleat)",20,119.64,0.0%,5.98,348,1945.92,0.2%,5.59,40,249.96,0.0%,6.25,24,143.88,0.0%,6.00,96,591.36,0.0%,6.16,156,953.24,0.1%,6.11,9,55.29,0.0%,6.14,120,735.36,0.1%,6.13,13,80.97,0.0%,6.23,13,78.53,0.0%,6.04,36,215.88,0.0%,6.00,171,1053.60,0.1%,6.16,1046.00,6223.63,0.0%,5.95
"ZLP16182SP (16x18x2 SPECIAL MERV10 Standard Capacity Pleat)",0.00,0.00,0.0%,0.00,5,60.70,0.0%,12.14,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,5,60.70,0.0%,12.14,0.00,0.00,0.0%,0.00,5,60.70,0.0%,12.14,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,5,60.70,0.0%,12.14,20.00,242.80,0.0%,12.14
"ZLP16201 (16x20x1 MERV10 Standard Capacity Pleat)",12,60.12,0.0%,5.01,70,293.18,0.0%,4.19,126,573.68,0.0%,4.55,0.00,0.00,0.0%,0.00,36,163.80,0.0%,4.55,194,907.78,0.1%,4.68,18,86.66,0.0%,4.81,25,113.18,0.0%,4.53,22,118.44,0.0%,5.38,132,608.44,0.1%,4.61,12,47.28,0.0%,3.94,196,918.76,0.1%,4.69,843.00,3891.32,0.0%,4.62
"ZLP16202 (16x20x2 MERV10 Standard Capacity Pleat)",76,350.88,0.1%,4.62,436,1843.18,0.1%,4.23,127,585.49,0.0%,4.61,105,487.53,0.0%,4.64,131,630.15,0.0%,4.81,239,1107.50,0.1%,4.63,89,414.33,0.0%,4.66,284,1299.05,0.1%,4.57,126,601.97,0.1%,4.78,157,718.62,0.1%,4.58,128,580.80,0.1%,4.54,461,2155.99,0.1%,4.68,2359.00,10775.49,0.1%,4.57
"ZLP16204 (16x20x4 MERV10 Standard Capacity Pleat)",0.00,0.00,0.0%,0.00,54,385.56,0.0%,7.14,19,147.63,0.0%,7.77,8,62.16,0.0%,7.77,8,62.16,0.0%,7.77,7,54.39,0.0%,7.77,12,93.80,0.0%,7.82,3,23.31,0.0%,7.77,100,738.28,0.1%,7.38,16,124.88,0.0%,7.81,6,42.84,0.0%,7.14,17,134.29,0.0%,7.90,250.00,1869.30,0.0%,7.48
"ZLP16221 (16x22x1 Special MERV10 Standard Capacity Pleat)",0.00,0.00,0.0%,0.00,0,0.00,0.0%,0.00,1,17.34,0.0%,17.34,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,1,17.34,0.0%,17.34,0.00,0.00,0.0%,0.00,1,17.34,0.0%,17.34,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,1,17.34,0.0%,17.34,4.00,69.36,0.0%,17.34
"ZLP16241 (16x24x1 MERV10 Standard Capacity Pleat)",2,10.26,0.0%,5.13,5,30.85,0.0%,6.17,0.00,0.00,0.0%,0.00,2,12.70,0.0%,6.35,2,12.70,0.0%,6.35,10,62.06,0.0%,6.21,0.00,0.00,0.0%,0.00,5,30.85,0.0%,6.17,0.00,0.00,0.0%,0.00,3,18.63,0.0%,6.21,0.00,0.00,0.0%,0.00,4,24.68,0.0%,6.17,33.00,202.73,0.0%,6.14
"ZLP16242 (16x24x2 MERV10 Standard Capacity Pleat)",36,217.86,0.0%,6.05,26,143.28,0.0%,5.51,11,65.50,0.0%,5.95,2,12.30,0.0%,6.15,36,211.44,0.0%,5.87,11,65.98,0.0%,6.00,14,80.58,0.0%,5.76,16,92.58,0.0%,5.79,54,337.76,0.0%,6.25,11,63.58,0.0%,5.78,0.00,0.00,0.0%,0.00,19,110.14,0.0%,5.80,236.00,1401.00,0.0%,5.94
"ZLP16244 (16x24x4 MERV10 Standard Capacity Pleat)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,1,10.04,0.0%,10.04,0.00,0.00,0.0%,0.00,24,247.92,0.0%,10.33,1,10.04,0.0%,10.04,0.00,0.00,0.0%,0.00,1,10.04,0.0%,10.04,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,1,10.04,0.0%,10.04,28.00,288.08,0.0%,10.29
"ZLP16251 (16x25x1 MERV10 Standard Capacity Pleat)",24,119.52,0.0%,4.98,67,325.18,0.0%,4.85,6,29.34,0.0%,4.89,1,4.62,0.0%,4.62,38,188.84,0.0%,4.97,11,53.44,0.0%,4.86,17,82.00,0.0%,4.82,47,232.70,0.0%,4.95,11,54.78,0.0%,4.98,19,93.42,0.0%,4.92,24,100.32,0.0%,4.18,16,78.17,0.0%,4.89,281.00,1362.33,0.0%,4.85
"ZLP16252 (16x25x2 MERV10 Standard Capacity Pleat)",587,3015.34,0.5%,5.14,1061,4948.85,0.4%,4.66,383,1941.21,0.1%,5.07,163,857.38,0.0%,5.26,216,1132.31,0.1%,5.24,242,1246.62,0.1%,5.15,127,668.41,0.1%,5.26,364,1977.07,0.2%,5.43,258,1381.92,0.1%,5.36,232,1197.85,0.1%,5.16,78,386.88,0.0%,4.96,512,2684.66,0.2%,5.24,4223.00,21438.50,0.1%,5.08
