,"Jan 21 - 31, 25","Feb 25","Mar 25","Apr 25","May 25","Jun 25","Jul 25","Aug 25","Sep 25","Oct 25","Nov 25","Dec 25","TOTAL"
,"Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price"
"Uncategorized","","",,"","","",,"","","",,"","","",,"","","",,"","","",,"","","",,"","","",,"","","",,"","","",,"","","",,"","","",,"",,,,""
"Inventory","","",,"","","",,"","","",,"","","",,"","","",,"","","",,"","","",,"","","",,"","","",,"","","",,"","","",,"","","",,"",,,,""
"1530-2Ply (15x30 2-Ply Poly Panel)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,3,23.61,0.0%,7.87,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,3.00,23.61,0.0%,7.87
"15305/8-2Ply (15x30 5/8 2-Ply Poly Panel)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,14,110.88,0.0%,7.92,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,11,87.12,0.0%,7.92,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,14,110.88,0.0%,7.92,0.00,0.00,0.0%,0.00,7,55.44,0.0%,7.92,46.00,364.32,0.0%,7.92
"15305/8-3Ply (15x30 -5/8 3-Ply Poly Panel)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,3,43.30,0.0%,14.43,0.00,0.00,0.0%,0.00,2,26.20,0.0%,13.10,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,1,9.10,0.0%,9.10,6.00,78.60,0.0%,13.10
"1534-2ply (15x34 2-Ply Poly Panel)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,2,16.42,0.0%,8.21,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,2,16.42,0.0%,8.21,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,4.00,32.84,0.0%,8.21
"16100-2Ply (16x100 2-Ply Poly Panel)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,5,161.25,0.0%,32.25,0.00,0.00,0.0%,0.00,5.00,161.25,0.0%,32.25
"16120-2ply (16"" X 120"" 2 PLY LINK FILTER)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,10,313.80,0.0%,31.38,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,10.00,313.80,0.0%,31.38
"1616-2Ply (16x16 2-Ply Poly Panel)",312,1622.40,0.3%,5.20,21,109.20,0.0%,5.20,4,20.80,0.0%,5.20,24,124.80,0.0%,5.20,21,109.20,0.0%,5.20,4,20.80,0.0%,5.20,20,104.00,0.0%,5.20,25,130.00,0.0%,5.20,0.00,0.00,0.0%,0.00,24,124.80,0.0%,5.20,21,109.20,0.0%,5.20,24,128.96,0.0%,5.37,500.00,2604.16,0.0%,5.21
"1616-3Ply (16x16 3-Ply Poly Panel)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,1,9.70,0.0%,9.70,0.00,0.00,0.0%,0.00,1,9.70,0.0%,9.70,1,7.20,0.0%,7.20,0.00,0.00,0.0%,0.00,1,9.70,0.0%,9.70,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,1,9.70,0.0%,9.70,5.00,46.00,0.0%,9.20
"1620-2Ply (16x20 2-Ply Poly Panels)",0.00,0.00,0.0%,0.00,9,50.58,0.0%,5.62,7,56.02,0.0%,8.00,19,111.62,0.0%,5.87,9,50.58,0.0%,5.62,4,27.15,0.0%,6.79,17,95.71,0.0%,5.63,16,106.60,0.0%,6.66,1,10.29,0.0%,10.29,19,106.95,0.0%,5.63,7,39.34,0.0%,5.62,19,106.78,0.0%,5.62,127.00,761.62,0.0%,6.00
"1620-3Ply (16x20 3-Ply Poly Panel)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,22,213.51,0.0%,9.71,6,57.67,0.0%,9.61,16,156.00,0.0%,9.75,11,96.87,0.0%,8.81,0.00,0.00,0.0%,0.00,18,174.51,0.0%,9.70,0.00,0.00,0.0%,0.00,6,57.67,0.0%,9.61,0.00,0.00,0.0%,0.00,22,213.67,0.0%,9.71,101.00,969.90,0.0%,9.60
